Date : 2024-06-27 16:50:48
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/oopsdance
Total : 4086 files,  -1781096 codes, -957629 comments, -120346 blanks, all -2859071 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/email.html                             | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/file.html                              | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/hidden.html                            | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/input.html                             | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/input_option.html                      | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/multiple_hidden.html                   | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/multiple_input.html                    | HTML             |         -5 |          0 |         -1 |         -6 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/multiwidget.html                       | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/number.html                            | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/password.html                          | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/radio.html                             | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/radio_option.html                      | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/select.html                            | HTML             |         -5 |          0 |         -1 |         -6 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/select_date.html                       | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/select_option.html                     | HTML             |         -1 |          0 |         -1 |         -2 |
